station_eng,station_ru
Planernaia,Планерная
VDNKh,Вднх
Alekseevskaia,Алексеевская
Sviblovo,Свиблово
Rimskaia,Римская
Perovo,Пёрово
Nekrasovka,Некрасовка
Riazanskii prospekt,Рязанский проспект
Medvedkovo,Медведково
Khovrino,Ховрино
Okskaia,Окская
Vystavochnaia,Выставочная
Otradnoe,Отрадное
Kuntcevskaia,Кунцевская
Shabolovskaia,Шаболовоская
Dobryninskaia,Добрынинская
Altufevo,Алтуфьево
Tcaritcyno,Царицыно 
Shchelkovskaia,Щёлковская
Skhodnenskaia,Сходненская
Solntcevo,Солнцево
Ulitca Starokachalovskaia,Улица Старокачаловская
Zhulebino,Жулебино
Preobrazhenskaia ploshchad,Преображенская площадь
Rasskazovka,Рассказовка
Buninskaia Alleia,Бунинская аллея
Fili,Фили
Kommunarka,Коммунарка
Cherkizovskaia,Черкизовская
Lukhmanovskaia,Лухмановская
Teplyi Stan,Тёплый стан
Prazhskaia,Пражская
Mezhdunarodnaia,Международная
Annino,Аннино
Beliaevo,Беляево
Liublino,Люблино
Kuzminki,Кузьминки
Novye Cheremushki,Новые черёмушки
Marino,Марьино
Strogino,Строгино
Piatnitckoe shosse,Пятницкое шоссе
Izmailovskaia,Измайловская
Petrovsko-Razumovskaia,Петровско-Разумовская
Tekstilshchiki,Текстильщики 
Nagornaia,Нагорная
Dubrovka,Дубровка
Partizanskaia,Партизанская
Bulvar Rokossovskogo,Бульвар Рокоссовского
Narodnoe Opolchenie,Народное ополчение
Mitino,Митино
Studencheskaia,Студенческая
Bulvar Admirala Ushakova,Бульвар Адмирала Ушакова
Krasnogvardeiskaia,Красногвардейская
Kantemirovskaia,Кантемировская
Vodnyi stadion,Водный стадион
Kurskaia,Курская
Borisovo,Борисово
Tcvetnoi bulvar,Цветной бульвар
Elektrozavodskaia,Электрозаводская
Seligerskaia,Селигерская
Rechnoi vokzal,Речной вокзал
Prospekt Mira,Проспект Мира
Belorusskaia,Белорусская
Salarevo,Саларьево
Prospekt Vernadskogo,Проспект Вернадского
Bratislavskaia,Братиславская
Volzhskaia,Волжская
Kotelniki,Котельники
Okruzhnaia,Окружная
Krasnye vorota,Красные ворота
Belomorskaia,Беломорская
Nakhimovskii prospekt,Нахимовский проспект
Spartak,Спартак
Govorovo,Говорово
Iasenevo,Ясенево
Tulskaia,Тульская
Krasnoselskaia,Красносельская
Vladykino,Владыкино
Shelepikha,Шелепиха
Marina Roshcha,Марьина Роща 
Proletarskaia,Пролетарская
Ploshchad Ilicha,Площадь Ильича
TcSKA,ЦСКА
Bagrationovskaia,Багратионовская
Okhotnyi riad,Охотный ряд
Ulitca 1905 goda,Улица 1905 года
Sukharevskaia,Сухаревская
Taganskaia,Таганская
Botanicheskii sad,Ботанический сад
Dmitrovskaia,Дмитровская
Petrovskii park,Петровский парк
Ozernaia,Озерная
Baumanskaia,Бауманская
Dinamo,Динамо
Ramenki,Раменки
Polianka,Полянка
Sokolniki,Сокольники
Aviamotornaia,Авиамотороная
Lefortovo,Лефортово
Akademicheskaia,Академическая
Pechatniki,Печатники
Minskaia,Минская
Universitet,Университет
Butyrskaia,Бутырская
Arbatskaia,Арбатская
Oktiabrskaia,Октябрьская
Iugo-Zapadnaia,Юго-западная
Oktiabrskoe pole,Октябрьское поле
Chertanovskaia,Чертановская
Ziablikovo,Зябликово
Novoperedelkino,Новопеределкино
Kaluzhskaia,Калужская
Timiriazevskaia,Тимирязевская
Kievskaia,Киевская
Michurinskii prospekt, Мичуринский проспект
Babushkinskaia,Бабушкинская
Domodedovskaia,Домодедовская
Novogireevo,Новогиреево
Pionerskaia,Пионерская
Krasnopresnenskaia,Краснопресненская
Vykhino,Выхино
Molodezhnaia,Молодёжная
Tushinskaia,Щукинская
Bibirevo,Бибирево
Smolenskaia,Смоленская
Kolomenskaia,Коломенская
Lesoparkovaia,Лесопарковая
Ulitca Akademika Iangelia,Улица Академика Янгеля
Pervomaiskaia,Первомайская
Alma-Atinskaia,Алма-Атинская
Shosse Entuziastov,Шоссе Энтузиастов
Novokuznetckaia,Новокузнецкая
Paveletckaia,Павелецкая
Ulitca Skobelevskaia,Улица Скобелевская
Borovskoe shosse,Боровское шоссе
Iuzhnaia,Южная
Turgenevskaia,Тургеневская
Profsoiuznaia,Профсоюзная
Kakhovskaia,Каховская
Savelovskaia,Савёловская
Lomonosovskii prospekt,Ломоносовский проспект
Aeroport,Аэропорт
Begovaia,Беговая
Barrikadnaia,Баррикадная
Miakinino,Мякинино
Avtozavodskaia,Автозаводская
Trubnaia,Трубная
Ulitca 800-letiia Moskvy,Улица 800-летия Москвы
Sportivnaia,Спортивная
Mendeleevskaia,Менделеевская
Varshavskaia,Варшавская
Krylatskoe,Крылатское
Olkhovaia,Ольховая
Voikovskaia,Войковская
Kitai-gorod,Китай-город
Filatov Lug,Филатов луг
Bulvar Dmitriia Donskogo,Бульвар Дмитрия Донского
Shchukinskaia,Щукинская
Kozhukhovskaia,Кожуховская
Frunzenskaia,Фрунзенская
Fonvizinskaia,Фонвизинская
Konkovo,Коньково
Serpukhovskaia,Серпуховская
Rizhskaia,Рижская
Ulitca Gorchakova,Улица Горчакова
Shipilovskaia,Шипиловская 
Park kultury,Парк культуры
Chistye prudy,Чистые пруды
Teatralnaia,Театральная
Maiakovskaia,Маяковская
Kuznetckii most,Кузнецкий мост
Tretiakovskaia,Третьяковская
Delovoi tcentr,Деловой центр
Pushkinskaia,Пушкинская
Lubianka,Лубянка
Tverskaia,Тверская
Krestianskaia zastava,Крестьянская застава
Novoslobodskaia,Новослободская
Novokosino,Новокосино
Komsomolskaia,Комсомольская
Orekhovo,Орехово
Iugo-Vostochnaia,Юго-Восточная
Leninskii prospekt,Ленинский проспект
Kutuzovskaia,Кутузовская
Stakhanovskaia,Стахановская
Volokolamskaia,Волокамская
Dostoevskaia,Достоевская
Novoiasenevskaia,Новоясенеская
Sevastopolskaia,Севастопольская
Sokol,Сокол
Park Pobedy,Парк Победы
Rumiantcevo,Румянцево
Slavianskii bulvar,Славянский бульвар
Chkalovskaia,Чкаловская
Verkhnie Likhobory,Верхние Лихоборы
Bittcevskii park,Битцевский парк
Prokshino,Прокшино
Tekhnopark,Технопарк
Sretenskii bulvar,Сретенский бульвар
Kropotkinskaia,Кропоткинская
Chekhovskaia,Чеховская
Polezhaevskaia,Полежаевская
Borovitckaia,Боровитцкая
Biblioteka im. Lenina,Библиотека имени Ленина
Volgogradskii prospekt,Волгоградский проспект
Nagatinskaia,Нагатинская
Marksistskaia,Марксисткая
Vorobevy gory,Воробьёвы горы
Kashirskaia,Каширская
Nizhegorodskaia,Нижегородская
Lermontovskii prospekt,Лермонтовский проспект
Ulitca Dmitrievskogo,Улица Дмитриевского
Semenovskaia,Семёновская
Davydkovo,Давыдково
Kosino,Косино
Troparevo,Тропарёво